0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,49,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,47,49,49,49,49,49,50,50,51,51,-,-
-,-,-,-,-,-,57,-,-,-,57,-,-,-,-,-,57,-,-,-,57,-,-,57,-,57,-,-,57,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,60,-,-,-,60,-,-,-,-,-,60,-,-,-,60,-,-,60,-,60,-,-,60,-,-,-,-,59,60,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,62,63,-,-,-,63,-,-,-,-,-,63,-,-,-,63,-,-,63,-,63,-,-,63,-,-,-,-,63,63,62,62,62,62,62,-,-,-,-,-,-
-,-,-,-,-,66,66,-,-,-,66,-,-,-,-,-,66,-,-,-,66,-,-,66,-,66,-,-,66,-,-,-,-,66,66,66,66,66,66,66,65,65,-,-,-,-
-,-,-,-,-,69,69,-,-,-,69,-,-,-,-,-,69,-,-,-,69,-,-,69,-,69,-,-,69,-,-,-,-,69,69,69,69,69,69,69,69,69,68,68,-,-
-,-,-,-,58,-,-,-,-,58,-,-,-,-,-,-,-,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,61,-,-,-,-,61,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,64,-,-,-,-,64,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-
-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,74,75,76,77,-,-,-,-,-,-
-,-,-,-,67,-,-,-,-,67,-,-,-,-,-,-,-,-,-,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,79,-,-,-,-
-,-,-,-,84,-,-,-,-,83,-,-,-,-,-,-,-,-,-,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,81,-,-
-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,-,-,-,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
